연번,자치구명,관리번호,도로(가로)명,설치위치,           설치지점,     수거 쓰레기 종류,              형태,설치연도
63,영등포구,가로2-29,서울특별시 영등포구 경인로 789,gs주유소 앞 버스정류소(19-003),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
64,영등포구,가로2-3,서울특별시 영등포구 영등포로 208,국민은행 앞,⑥ 횡단보도 입구,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
65,영등포구,가로2-3,서울특별시 영등포구 영등포로 208,국민은행 앞,⑥ 횡단보도 입구,② 재활용쓰레기,① 일반 사각쓰레기통,2019
66,영등포구,가로2-30,서울특별시 영등포구 경인로 789,gs주유소 앞 버스정류소(19-003),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
67,영등포구,가로2-4,서울특별시 영등포구 당산로27길 12,당산공원 버스정류장 앞,"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
68,영등포구,가로2-4,서울특별시 영등포구 당산로27길 12,당산공원 버스정류장 앞,"① 정류장(버스, 택시 등)",② 재활용쓰레기,① 일반 사각쓰레기통,2019
69,영등포구,가로2-5,서울특별시 영등포구 당산로27길 12,당산공원 버스정류장 앞,"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
70,영등포구,가로2-5,서울특별시 영등포구 당산로27길 12,당산공원 버스정류장 앞,"① 정류장(버스, 택시 등)",② 재활용쓰레기,① 일반 사각쓰레기통,2019
71,영등포구,가로2-6,서울특별시 영등포구 영등포로 194,씨티은행 앞,"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
72,영등포구,가로2-6,서울특별시 영등포구 영등포로 194,씨티은행 앞,"① 정류장(버스, 택시 등)",② 재활용쓰레기,① 일반 사각쓰레기통,2019
73,영등포구,가로2-7,서울특별시 영등포구 영등포로 141,제비표 페인트 앞,"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
74,영등포구,가로2-7,서울특별시 영등포구 영등포로 141,제비표 페인트 앞,"① 정류장(버스, 택시 등)",② 재활용쓰레기,① 일반 사각쓰레기통,2019
75,영등포구,가로2-8,서울특별시 영등포구 영등포로 141,제비표 페인트 앞,"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
76,영등포구,가로2-8,서울특별시 영등포구 영등포로 141,제비표 페인트 앞,"① 정류장(버스, 택시 등)",② 재활용쓰레기,① 일반 사각쓰레기통,2019
77,영등포구,가로2-9,서울특별시 영등포구 문래로 110,문래 청소년 수련관 앞,"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
78,영등포구,가로2-9,서울특별시 영등포구 문래로 110,문래 청소년 수련관 앞,"① 정류장(버스, 택시 등)",② 재활용쓰레기,① 일반 사각쓰레기통,2019
