연번,자치구명,관리번호,도로(가로)명,설치위치,           설치지점,     수거 쓰레기 종류,              형태,설치연도
175,영등포구,여의-3,서울특별시 영등포구 여의대방로,KBS 별관 앞 버스정류장(19-150),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
176,영등포구,여의-30,서울특별시 영등포구 의사당대로 1,국회의사당역 1번출구LG에클라트,② 지하철역 입구,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
177,영등포구,여의-31,서울특별시 영등포구 의사당대로 1,국회도서관 입구,③ 도로(가로)변,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
178,영등포구,여의-32,서울특별시 영등포구 의사당대로 1,의원회관 입구,③ 도로(가로)변,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
179,영등포구,여의-34,서울특별시 영등포구 여의나루로 42,미성아파트 A동 입구,③ 도로(가로)변,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
180,영등포구,여의-35,서울특별시 영등포구 국제금융로 82 ,롯데캐슬 아이비 맞은편,③ 도로(가로)변,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
181,영등포구,여의-4,서울특별시 영등포구 여의길 55,KBS 별관 앞 버스정류장(19-150),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
182,영등포구,여의-5,서울특별시 영등포구 여의서로,여의도공원 버스정류장(19-138),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
183,영등포구,여의-6,서울특별시 영등포구 63로,시범아파트 맞은편 63빌딩 버스정류장(19-144) ,"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
184,영등포구,여의-7,서울특별시 영등포구 여의서로 43,"한서빌딩, 순복음교회 버스정류장(19-136)","① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
185,영등포구,여의-8,서울특별시 영등포구 여의대방로,앙카라공원 앞 버스정류소(19-151),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
186,영등포구,이동,서울특별시 영등포구 양산로,양평역 1번 출구앞,"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
187,영등포구,이동,서울특별시 영등포구 양산로,양평역 1번 출구앞,"① 정류장(버스, 택시 등)",② 재활용쓰레기,① 일반 사각쓰레기통,2018 이전
188,영등포구,이동,서울특별시 영등포구 영등포로 178,청과시장사거리 김안과쪽,"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
189,영등포구,이동,서울특별시 영등포구 여의나루로 96,MBC옆 버스정류장,"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
